team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
88,1973-07-07.MON197307070,HOU,@,MON,-5,43.9,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.312,.359,.528,.887,3,.88,-0.065,-0.70,CF
89,1973-07-08.MON197307080,HOU,@,MON,2,43.9,5,5,3,3,0,0,2,3,0,0,0,0,0,0,0,1,0,0,.318,.363,.551,.914,3,1.98,0.431,2.44,CF
90,1973-07-09.NYN197307090,HOU,@,NYM,-1,18.9,4,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,.318,.365,.552,.917,3,1.11,0.038,0.46,CF
94,1973-07-13.PHI197307130,HOU,@,PHI,-2,43.9,4,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.318,.366,.550,.916,3,.81,0.063,0.45,CF
95,1973-07-14.PHI197307140,HOU,@,PHI,-7,43.9,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.316,.368,.546,.914,3,.26,0.028,0.05,CF
96,1973-07-15.PHI197307150,HOU,@,PHI,2,40.6,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.313,.368,.542,.910,3,1.27,0.008,0.00,CF
97,1973-07-16.HOU197307160,HOU,,MON,1,45.0,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.315,.368,.540,.908,3,1.52,-0.014,0.12,CF
98,1973-07-17.HOU197307170,HOU,,MON,-5,43.9,4,3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,.315,.370,.538,.908,3,1.08,0.153,0.85,CF
99,1973-07-18.HOU197307180,HOU,,MON,-1,45.0,5,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,.316,.377,.537,.914,3,1.74,0.214,1.03,CF
100,1973-07-20.HOU197307200,HOU,,NYM,4,43.9,4,3,1,1,0,0,1,2,1,0,1,0,0,0,0,0,1,0,.316,.378,.545,.924,3,1.14,0.016,1.45,CF
101,1973-07-21.HOU197307210,HOU,,NYM,-2,43.9,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.316,.377,.542,.918,3,1.70,-0.136,-0.80,CF
102,1973-07-22.HOU197307220,HOU,,NYM,-1,43.9,4,4,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,.318,.378,.544,.922,3,1.84,-0.123,0.17,CF
103,1973-07-26.LAN197307260,HOU,@,LAD,-2,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.314,.374,.537,.911,3,.62,-0.060,-0.53,CF
