year,number,one,two,three,four,five,six,seven,eight,nine
1908,125,Slagle,Sheckard,Chance,Evers,Steinfeldt,Schulte,Tinker,Kling,pitcher
1908,126,Slagle,Sheckard,Chance,Evers,Steinfeldt,Schulte,Tinker,Kling,pitcher
1908,127,Hofman,Sheckard,Chance,Evers,Steinfeldt,Schulte,Tinker,Kling,pitcher
1908,128,Hofman,Slagle,Chance,Evers,Steinfeldt,Schulte,Tinker,Kling,pitcher
1908,129,Hofman,Slagle,Chance,Evers,Steinfeldt,Schulte,Tinker,Kling,pitcher
1908,130,Slagle,Hofman,Schulte,Evers,Steinfeldt,Howard,Tinker,Moran,pitcher
1908,131,Slagle,Hofman,Schulte,Evers,Steinfeldt,Howard,Tinker,Moran,pitcher
1908,132,Slagle,Hofman,Schulte,Evers,Steinfeldt,Howard,Tinker,Kling,pitcher
1908,133,Slagle,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,134,Slagle,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,135,Slagle,Evers,Schulte,Hofman,Steinfeldt,Howard,Tinker,Kling,pitcher
1908,136,Slagle,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,137,Slagle,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,138,Slagle,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,139,Slagle,Zimmerman,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,140,Slagle,Zimmerman,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,141,Hayden,Zimmerman,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,142,Hayden,Howard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,143,Hayden,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,144,Hayden,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,145,Hayden,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,146,Hayden,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,147,Hayden,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,148,Hayden,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,149,Hayden,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,150,Hayden,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,151,Hayden,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,152,Sheckard,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,153,Sheckard,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1908,154,Sheckard,Evers,Schulte,Chance,Howard,Hofman,Tinker,Kling,pitcher
1908,155,Sheckard,Evers,Schulte,Chance,Howard,Hofman,Tinker,Kling,pitcher
1908,156,Sheckard,Evers,Schulte,Chance,Howard,Hofman,Tinker,Kling,pitcher
1908,157,Sheckard,Evers,Schulte,Chance,Howard,Hofman,Tinker,Kling,pitcher
1908,158,Sheckard,Evers,Schulte,Chance,Steinfeldt,Hofman,Tinker,Kling,pitcher
1909,1,Browne,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,2,Browne,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,3,Browne,Kane,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,4,Browne,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,5,Browne,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,6,Browne,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,7,Browne,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,8,Browne,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,9,Browne,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,10,Browne,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,11,Browne,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,12,Schulte,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,13,Schulte,Sheckard,Howard,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
1909,14,Schulte,Sheckard,Chance,Steinfeldt,Tinker,Hofman,Zimmerman,Moran,pitcher
