year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1955,nuxhajo01,Joe Nuxhall,26,CIN,NL,17,12,.586,3.47,50,33,8,14,5,3,257.0,240,108,99,25,78,6,98,5,0,5,1061,121,3.84,1.237,8.4,0.9,2.7,3.4,1.26
1955,owensji01,Jim Owens,21,PHI,NL,0,2,.000,8.31,3,2,0,0,0,0,8.2,13,8,8,2,7,0,6,0,0,0,43,50,6.41,2.308,13.5,2.1,7.3,6.2,0.86
1955,paineph01,Phil Paine,25,MLN,NL,2,0,1.000,2.49,15,0,7,0,0,0,25.1,20,8,7,2,14,3,26,0,0,1,109,153,3.00,1.342,7.1,0.7,5.0,9.2,1.86
1955,palicer01,Erv Palica,27,BAL,AL,5,11,.313,4.14,33,25,5,5,1,2,169.2,165,91,78,10,83,4,68,2,0,5,741,91,3.83,1.462,8.8,0.5,4.4,3.6,0.82
1955,papaial01,Al Papai,38,CHW,AL,0,0,,3.86,7,0,4,0,0,0,11.2,10,5,5,1,8,2,5,0,0,0,52,105,4.68,1.543,7.7,0.8,6.2,3.9,0.63
1955,parneme01,Mel Parnell,33,BOS,AL,2,3,.400,7.83,13,9,2,0,0,1,46.0,62,44,40,12,25,1,18,1,0,0,227,56,6.67,1.891,12.1,2.3,4.9,3.5,0.72
1955,pascuca02,Camilo Pascual,21,WSH,AL,2,12,.143,6.14,43,16,12,1,0,3,129.0,158,94,88,5,70,6,82,6,1,2,605,64,3.37,1.767,11.0,0.3,4.9,5.7,1.17
1955,pearcji01,Jim Pearce,30,CIN,NL,0,1,.000,10.80,2,1,0,0,0,0,3.1,8,5,4,0,0,0,0,0,0,0,18,43,2.37,2.400,21.6,0.0,0.0,0.0,
1955,peppela01,Laurin Pepper,24,PIT,NL,0,1,.000,10.35,14,1,6,0,0,0,20.0,30,24,23,5,25,0,7,2,0,2,111,40,8.97,2.750,13.5,2.3,11.3,3.2,0.28
1955,perkoha01,Harry Perkowski,32,CHC,NL,3,4,.429,5.29,25,4,14,0,0,2,47.2,53,32,28,3,25,4,28,0,0,1,215,79,3.58,1.636,10.0,0.6,4.7,5.3,1.12
1955,piercbi02,Billy Pierce,28,CHW,AL,15,10,.600,1.97,33,26,5,16,6,3,205.2,162,50,45,16,64,5,157,3,1,4,836,200,2.83,1.099,7.1,0.7,2.8,6.9,2.45
1955,pilledu01,Duane Pillette,32,BAL,AL,0,3,.000,6.53,7,5,1,0,0,0,20.2,31,16,15,0,14,1,13,0,0,1,105,59,3.14,2.177,13.5,0.0,6.1,5.7,0.93
1955,podbibu01,Bud Podbielan,31,CIN,NL,1,2,.333,3.21,17,2,5,0,0,0,42.0,36,16,15,4,11,0,26,1,0,2,171,132,3.22,1.119,7.7,0.9,2.4,5.6,2.36
1955,podrejo01,Johnny Podres,22,BRO,NL,9,10,.474,3.95,27,24,0,5,2,0,159.1,160,80,70,15,57,2,114,4,0,5,684,103,3.31,1.362,9.0,0.8,3.2,6.4,2.00
1955,poholto01,Tom Poholsky,25,STL,NL,9,11,.450,3.81,30,24,5,8,2,0,151.0,143,71,64,26,35,4,66,2,0,4,626,106,4.47,1.179,8.5,1.5,2.1,3.9,1.89
1955,polleho01,Howie Pollet,34,CHC,NL,4,3,.571,5.61,24,7,8,1,1,4,61.0,62,41,38,11,27,3,27,0,0,2,267,74,5.15,1.459,9.1,1.6,4.0,4.0,1.00
1955,portebo01,Bob Porterfield,31,WSH,AL,10,17,.370,4.45,30,27,2,8,2,0,178.0,197,103,88,14,54,5,74,2,0,0,770,88,3.50,1.410,10.0,0.7,2.7,3.7,1.37
1955,portoar01,Arnie Portocarrero,23,KCA,AL,5,9,.357,4.77,24,20,1,4,1,0,111.1,109,66,59,12,67,4,34,4,1,0,506,87,5.07,1.581,8.8,1.0,5.4,2.7,0.51
1955,purkebo01,Bob Purkey,25,PIT,NL,2,7,.222,5.32,14,10,3,2,0,0,67.2,77,47,40,5,25,1,24,2,0,1,298,77,3.82,1.507,10.2,0.7,3.3,3.2,0.96
1955,ramospe01,Pedro Ramos,20,WSH,AL,5,11,.313,3.88,45,9,22,3,1,5,130.0,121,62,56,13,39,3,34,11,1,2,548,101,4.30,1.231,8.4,0.9,2.7,2.4,0.87
1955,raschvi01,Vic Raschi,36,TOT,MLB,4,7,.364,5.68,21,19,0,1,0,0,103.0,137,70,65,10,36,5,39,1,0,2,477,74,3.95,1.680,12.0,0.9,3.1,3.4,1.08
1955,raschvi01,Vic Raschi,36,STL,NL,0,1,.000,21.60,1,1,0,0,0,0,1.2,5,4,4,0,1,1,1,0,0,0,11,23,2.97,3.600,27.0,0.0,5.4,5.4,1.00
1955,raschvi01,Vic Raschi,36,KCA,AL,4,6,.400,5.42,20,18,0,1,0,0,101.1,132,66,61,10,35,4,38,1,0,2,466,77,3.97,1.648,11.7,0.9,3.1,3.4,1.09
1955,ridzist01,Steve Ridzik,26,TOT,NL,0,4,.000,3.95,16,3,3,0,0,0,41.0,42,25,18,5,22,1,12,4,0,3,185,107,5.27,1.561,9.2,1.1,4.8,2.6,0.55
1955,ridzist01,Steve Ridzik,26,PHI,NL,0,1,.000,2.45,3,1,0,0,0,0,11.0,7,9,3,1,8,0,6,3,0,1,51,167,5.46,1.364,5.7,0.8,6.5,4.9,0.75
