team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game,player_ID,year_ID
101,1973-07-21.HOU197307210,HOU,,NYM,-2,43.9,4,4,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.316,0.377,0.542,0.9179999999999999,3,1.7,-0.136,-0.8,CF,cedence01,1973
102,1973-07-22.HOU197307220,HOU,,NYM,-1,43.9,4,4,0,2,1,0,0,1,0,0.0,0,0,0,0.0,0,1.0,0,0,0.318,0.37799999999999995,0.544,0.922,3,1.84,-0.12300000000000001,0.17,CF,cedence01,1973
103,1973-07-26.LAN197307260,HOU,@,LAD,-2,43.9,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.314,0.374,0.537,0.9109999999999999,3,0.62,-0.06,-0.53,CF,cedence01,1973
104,1973-07-27.LAN197307270,HOU,@,LAD,3,43.9,5,5,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.309,0.368,0.529,0.897,3,1.03,-0.132,-1.84,CF,cedence01,1973
105,1973-07-28.HOU197307280,HOU,,ATL,-2,43.9,4,4,0,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.308,0.36700000000000005,0.528,0.895,3,1.23,-0.09699999999999999,-0.85,CF,cedence01,1973
106,1973-07-29.HOU197307290,HOU,,ATL,3,43.9,5,4,1,2,1,0,0,1,1,0.0,1,0,0,0.0,1,0.0,2,0,0.311,0.37,0.531,0.9009999999999999,3,1.24,0.28600000000000003,1.65,CF,cedence01,1973
107,1973-07-30.HOU197307300,HOU,,ATL,-4,43.9,4,4,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.31,0.369,0.528,0.8959999999999999,3,1.2,-0.079,-0.55,CF,cedence01,1973
108,1973-07-31.HOU197307310,HOU,,LAD,1,43.9,4,3,1,1,1,0,0,1,0,0.0,1,1,0,0.0,0,0.0,0,0,0.31,0.37,0.529,0.899,3,0.88,0.18600000000000003,1.25,CF,cedence01,1973
109,1973-08-01.HOU197308010,HOU,,LAD,5,13.4,2,1,0,1,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.312,0.374,0.53,0.904,3,0.97,0.065,0.62,CF,cedence01,1973
110,1973-08-02.HOU197308020,HOU,,LAD,-2,10.1,2,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.311,0.374,0.529,0.903,9,2.65,0.015,0.17,PH CF,cedence01,1973
111,1973-08-03.CIN197308031,HOU,@,CIN,1,45.0,5,2,0,0,0,0,0,1,2,1.0,0,0,0,1.0,0,0.0,1,0,0.309,0.375,0.526,0.9,3,2.19,0.105,-0.18,CF,cedence01,1973
112,1973-08-03.CIN197308032,HOU,@,CIN,-6,43.9,5,5,2,3,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.314,0.37799999999999995,0.53,0.907,3,0.93,0.059000000000000004,0.91,CF,cedence01,1973
113,1973-08-04.CIN197308040,HOU,@,CIN,-1,46.1,5,4,1,1,0,0,1,1,1,0.0,0,0,0,0.0,0,0.0,0,0,0.313,0.37799999999999995,0.535,0.9129999999999999,3,1.43,0.09699999999999999,1.22,CF,cedence01,1973
114,1973-08-05.CIN197308050,HOU,@,CIN,-6,43.9,4,4,0,3,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.318,0.382,0.54,0.922,3,0.47,0.068,0.49,CF,cedence01,1973
115,1973-08-06.CIN197308060,HOU,@,CIN,1,43.9,4,4,0,3,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.32299999999999995,0.386,0.5429999999999999,0.9279999999999999,3,1.62,0.26899999999999996,2.41,CF,cedence01,1973
116,1973-08-07.PIT197308070,HOU,@,PIT,2,43.9,4,4,0,2,0,0,0,1,0,0.0,0,0,0,0.0,0,1.0,0,2,0.325,0.387,0.542,0.929,3,0.93,0.006,-0.64,CF,cedence01,1973
117,1973-08-08.PIT197308080,HOU,@,PIT,-1,43.9,4,4,0,1,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0,0.324,0.385,0.542,0.927,3,1.83,0.254,0.33,CF,cedence01,1973
118,1973-08-10.CHN197308100,HOU,@,CHC,2,43.9,5,5,2,1,0,0,0,0,0,0.0,1,0,0,0.0,1,0.0,1,0,0.322,0.38299999999999995,0.537,0.92,3,0.62,0.036000000000000004,0.09,CF,cedence01,1973
119,1973-08-11.CHN197308110,HOU,@,CHC,2,43.9,5,4,1,0,0,0,0,0,1,0.0,0,0,0,0.0,1,0.0,0,1,0.319,0.381,0.531,0.912,3,1.92,0.306,1.34,CF,cedence01,1973
120,1973-08-12.CHN197308120,HOU,@,CHC,1,43.9,4,4,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0,0,0.318,0.38,0.528,0.9079999999999999,3,1.41,0.066,0.03,CF,cedence01,1973
121,1973-08-13.SLN197308130,HOU,@,STL,4,43.9,5,5,0,0,0,0,0,0,0,0.0,1,0,0,0.0,1,0.0,0,0,0.314,0.375,0.521,0.8959999999999999,3,0.55,-0.036000000000000004,-0.71,CF,cedence01,1973
122,1973-08-14.SLN197308140,HOU,@,STL,-4,43.9,5,5,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,1,0,0.312,0.373,0.517,0.89,3,0.52,-0.026000000000000002,-0.79,CF,cedence01,1973
123,1973-08-15.SLN197308150,HOU,@,STL,3,43.9,4,4,1,2,1,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.314,0.374,0.519,0.894,3,0.96,0.171,1.22,CF,cedence01,1973
124,1973-08-17.HOU197308170,HOU,,PHI,-5,11.2,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.316,0.376,0.521,0.8959999999999999,3,1.09,0.036000000000000004,0.38,CF,cedence01,1973
126,1973-08-19.HOU197308190,HOU,,PHI,-2,5.9,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.315,0.375,0.519,0.894,9,1.71,-0.042,-0.22,PH,cedence01,1973
127,1973-08-20.HOU197308200,HOU,,PIT,8,43.9,5,5,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.311,0.37,0.513,0.883,3,0.64,-0.08900000000000001,-2.19,CF,cedence01,1973
128,1973-08-21.HOU197308210,HOU,,PIT,-3,43.9,4,4,0,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.311,0.369,0.51,0.879,3,1.39,-0.03,-0.42,CF,cedence01,1973
129,1973-08-22.HOU197308220,HOU,,PIT,-4,43.9,4,4,0,2,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.313,0.37,0.513,0.883,3,0.74,0.023,0.5,CF,cedence01,1973
130,1973-08-24.HOU197308240,HOU,,CHC,2,43.9,4,2,1,1,1,0,0,0,2,1.0,0,0,0,0.0,0,0.0,0,0,0.313,0.374,0.515,0.889,3,0.86,0.063,0.74,CF,cedence01,1973
131,1973-08-25.HOU197308250,HOU,,CHC,-1,45.0,5,4,1,1,0,0,0,0,1,1.0,1,0,0,0.0,0,0.0,0,0,0.313,0.374,0.512,0.8859999999999999,3,1.81,-0.064,0.13,CF,cedence01,1973
132,1973-08-26.HOU197308260,HOU,,CHC,-2,43.9,4,4,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,2,0,0.312,0.373,0.51,0.883,3,1.74,-0.075,-0.67,CF,cedence01,1973
133,1973-08-27.HOU197308270,HOU,,STL,-3,49.4,7,5,0,2,1,0,0,0,1,0.0,1,0,1,0.0,0,0.0,1,2,0.313,0.375,0.511,0.8859999999999999,3,1.55,-0.18,-0.96,CF,cedence01,1973
