team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
81,1973-07-04.CIN197307040,CIN,,SFG,-4,43.9,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.296,.405,.484,.889,2,.95,-0.054,-0.64,2B
82,1973-07-05.CIN197307050,CIN,,SFG,1,43.9,5,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.298,.405,.482,.888,2,1.73,-0.036,-0.08,2B
83,1973-07-06.PHI197307060,CIN,@,PHI,6,43.9,5,3,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,.298,.405,.481,.886,2,.81,-0.113,-1.02,2B
84,1973-07-07.PHI197307070,CIN,@,PHI,1,17.8,5,4,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.301,.408,.481,.889,2,.48,0.053,0.44,2B
85,1973-07-08.PHI197307080,CIN,@,PHI,4,43.9,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.300,.406,.478,.884,2,1.12,-0.063,-1.47,2B
86,1973-07-09.MON197307090,CIN,@,MON,5,43.9,6,3,2,2,0,0,1,2,3,0,0,0,0,0,0,0,0,1,.304,.413,.490,.903,2,.86,0.235,2.26,2B
87,1973-07-10.MON197307100,CIN,@,MON,4,43.9,5,3,2,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,.304,.416,.492,.908,2,.62,0.129,1.04,2B
88,1973-07-11.MON197307110,CIN,@,MON,-1,43.9,5,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,.305,.418,.490,.909,2,1.17,0.056,0.37,2B
89,1973-07-13.CIN197307131,CIN,,NYM,1,43.9,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.304,.417,.497,.913,2,.72,0.053,0.37,2B
90,1973-07-13.CIN197307132,CIN,,NYM,-2,43.9,5,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.303,.416,.494,.910,2,1.32,-0.049,-0.10,2B
91,1973-07-14.CIN197307140,CIN,,NYM,-3,43.9,5,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.306,.419,.497,.916,2,.84,0.107,0.54,2B
92,1973-07-15.CIN197307150,CIN,,NYM,2,43.9,4,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,.307,.422,.497,.919,2,.66,0.090,1.01,2B
93,1973-07-16.CIN197307160,CIN,,PHI,1,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.303,.418,.491,.909,2,1.11,-0.118,-1.45,2B
94,1973-07-17.CIN197307170,CIN,,PHI,-1,43.9,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.299,.415,.485,.900,2,2.29,-0.096,-1.00,2B
95,1973-07-18.CIN197307180,CIN,,PHI,4,18.9,4,3,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.300,.416,.486,.902,2,1.14,0.118,0.77,2B
96,1973-07-19.CIN197307190,CIN,,MON,1,43.9,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.300,.417,.488,.905,2,.66,0.029,0.44,2B
97,1973-07-20.CIN197307200,CIN,,MON,4,43.9,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.297,.415,.483,.899,2,.84,0.010,-0.08,2B
98,1973-07-21.CIN197307210,CIN,,MON,2,43.9,4,3,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,.295,.414,.479,.893,2,1.57,-0.112,-0.89,2B
99,1973-07-22.CIN197307220,CIN,,MON,6,7.9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.295,.414,.479,.893,6,,,,PR 2B
100,1973-07-26.CIN197307261,CIN,,ATL,2,43.9,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.297,.414,.482,.897,2,.52,-0.021,0.34,2B
101,1973-07-26.CIN197307262,CIN,,ATL,-2,43.9,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.293,.410,.475,.885,2,1.42,-0.279,-2.07,2B
102,1973-07-27.CIN197307270,CIN,,ATL,10,17.8,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,.293,.415,.475,.890,2,.60,0.095,1.71,2B
103,1973-07-28.SDN197307280,CIN,@,SDP,1,45.0,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.289,.410,.469,.879,2,1.84,-0.180,-0.76,2B
104,1973-07-29.SDN197307291,CIN,@,SDP,-6,43.9,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.288,.409,.466,.875,2,.46,-0.001,-0.23,2B
105,1973-07-29.SDN197307292,CIN,@,SDP,2,43.9,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.288,.407,.466,.874,2,.74,0.101,0.37,2B
106,1973-07-31.ATL197307311,CIN,@,ATL,4,43.9,5,5,2,3,1,0,1,2,0,0,0,0,0,0,0,0,1,0,.292,.410,.479,.889,2,1.30,0.376,1.95,2B
107,1973-07-31.ATL197307312,CIN,@,ATL,2,43.9,6,5,2,4,1,0,2,5,1,0,0,0,0,0,0,0,1,0,.299,.415,.503,.918,2,1.73,0.634,5.16,2B
108,1973-08-01.ATL197308010,CIN,@,ATL,-8,43.9,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.296,.413,.497,.910,2,1.47,-0.196,-1.44,2B
109,1973-08-02.ATL197308020,CIN,@,ATL,15,14.5,4,1,2,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,.298,.418,.501,.919,2,.59,0.026,1.49,2B
110,1973-08-03.CIN197308031,CIN,,HOU,-1,45.0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.294,.414,.496,.910,2,1.47,-0.152,-0.83,2B
111,1973-08-03.CIN197308032,CIN,,HOU,6,43.9,5,5,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.296,.414,.503,.917,2,1.06,0.076,0.54,2B
112,1973-08-04.CIN197308040,CIN,,HOU,1,46.1,7,5,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,.297,.416,.501,.918,2,3.26,0.730,2.89,2B
113,1973-08-05.CIN197308050,CIN,,HOU,6,43.9,5,4,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,.297,.416,.499,.915,2,.52,0.151,1.82,2B
114,1973-08-06.CIN197308060,CIN,,HOU,-1,43.9,5,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,.296,.416,.496,.912,2,1.57,0.122,1.05,2B
115,1973-08-07.CIN197308070,CIN,,CHC,1,43.9,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.296,.415,.501,.916,2,1.17,0.147,0.19,2B
116,1973-08-08.CIN197308080,CIN,,CHC,1,43.9,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.295,.413,.499,.912,2,.87,0.046,-0.21,2B
117,1973-08-10.SLN197308100,CIN,@,STL,4,43.9,5,5,1,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,.297,.413,.500,.913,2,.83,0.112,0.70,2B
118,1973-08-11.SLN197308110,CIN,@,STL,2,45.0,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.296,.413,.498,.911,2,1.02,0.119,0.89,2B
119,1973-08-12.SLN197308120,CIN,@,STL,5,43.9,5,2,1,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,.295,.414,.495,.909,2,.61,0.029,0.60,2B
120,1973-08-13.PIT197308130,CIN,@,PIT,-1,43.9,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.294,.413,.493,.905,2,.84,-0.022,-0.05,2B
121,1973-08-14.PIT197308140,CIN,@,PIT,1,43.9,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.294,.412,.491,.903,2,1.21,0.025,0.78,2B
122,1973-08-15.PIT197308150,CIN,@,PIT,1,43.9,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.296,.413,.491,.904,2,1.70,0.166,0.42,2B
123,1973-08-17.NYN197308170,CIN,@,NYM,1,45.0,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.294,.412,.487,.899,2,1.67,0.032,0.11,2B
124,1973-08-18.NYN197308180,CIN,@,NYM,-11,16.7,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,.294,.413,.488,.901,2,.60,0.025,-0.48,2B
125,1973-08-19.NYN197308190,CIN,@,NYM,-1,43.9,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,.291,.409,.484,.893,2,1.60,-0.160,-1.08,2B
126,1973-08-20.NYN197308200,CIN,@,NYM,5,51.6,7,7,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.291,.408,.488,.895,2,1.79,0.046,-0.21,2B
127,1973-08-21.CHN197308210,CIN,@,CHC,-2,43.9,4,4,2,3,0,0,1,2,0,0,0,0,0,0,0,0,1,1,.295,.410,.497,.907,2,1.20,0.255,1.43,2B
128,1973-08-22.CHN197308220,CIN,@,CHC,-1,43.9,5,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.299,.412,.500,.912,2,1.19,0.032,0.56,2B
129,1973-08-23.CHN197308230,CIN,@,CHC,-1,45.0,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,.297,.414,.498,.912,2,1.36,-0.128,-0.74,2B
130,1973-08-24.CIN197308240,CIN,,STL,-1,46.1,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.293,.409,.491,.901,2,1.31,-0.198,-1.06,2B
131,1973-08-25.CIN197308250,CIN,,STL,2,43.9,4,3,2,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.294,.410,.490,.900,2,1.15,0.125,1.07,2B
132,1973-08-26.CIN197308260,CIN,,STL,3,43.9,5,3,1,1,0,0,1,2,2,0,0,0,0,0,0,0,1,0,.294,.412,.496,.907,2,1.08,0.132,1.80,2B
133,1973-08-28.CIN197308280,CIN,,PIT,-5,17.8,4,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.296,.412,.498,.910,2,.84,0.073,0.38,2B
134,1973-08-29.CIN197308290,CIN,,PIT,2,43.9,5,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,.294,.412,.495,.907,2,.44,0.046,0.17,2B
135,1973-08-31.SDN197308310,CIN,@,SDP,6,16.7,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.291,.410,.491,.901,2,.38,0.050,-0.27,2B
136,1973-09-01.SDN197309010,CIN,@,SDP,1,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.289,.408,.486,.894,2,1.25,-0.120,-1.00,2B
137,1973-09-02.SDN197309020,CIN,@,SDP,5,43.9,5,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,.287,.407,.483,.891,2,.38,-0.017,-0.01,2B
138,1973-09-03.HOU197309030,CIN,@,HOU,1,43.9,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.284,.404,.479,.883,2,1.37,-0.182,-1.42,2B
139,1973-09-04.HOU197309040,CIN,@,HOU,5,45.0,6,6,1,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,.285,.403,.477,.880,2,.85,0.059,1.31,2B
140,1973-09-05.HOU197309050,CIN,@,HOU,6,46.1,6,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.283,.401,.473,.874,2,.69,-0.088,0.95,2B
141,1973-09-07.ATL197309070,CIN,@,ATL,-5,17.8,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.284,.402,.472,.874,2,.80,0.026,0.23,2B
